appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,402,10,Federal Financial Institutions Examinations Council,,False,federal-financial-institutions-examinations-council,approved,[]
,False,23842,3815,Bedford Police Department,,False,bedford-police-department,approved,[]
,False,23868,10569,TOWN CLERK,,False,smccreadytownofsurfsideflgov,approved,[]
,False,23884,7657,Cicero Police Department,,False,police-department,approved,[]
,False,38586,8683,Delafield Police Department,,False,delafield-police-department-wi,approved,[]
,False,464,200,"Hays County, TX Office of Emergency Management",,False,hays-county-tx-office-emergency-management,approved,[]
,False,23916,314,Suburban Mobility Authority For Regional Transportation,,False,suburban-mobility-authority-for-regional-transportation,approved,[]
,False,476,109,Texas A & M Engineering Experiment Station,,False,texas-m-engineering-experiment-station,approved,Education
,False,23943,3002,Police Department,,False,police-department,approved,[]
,False,11192,4833,Clarke County Sheriff,,False,clarke-county,approved,[]
,False,23956,34,City Of Oldsmar,,False,city-of-oldsmar,approved,[]
,False,23980,304,City of New Martinsville,,False,new-martinsville,approved,[]
,False,24001,5592,Hamden Fire Department,,False,fire-department-hamden,approved,[]
,False,23995,10,Interior Department Office Of Intergovernmental And External Affairs,,False,interior-department-office-of-intergovernmental-and-external-affairs,approved,[]
,False,31099,910,Prichard Police Department,,False,prichard-police-department,approved,[]
,False,41682,9500,Apache Junction Police Department,,False,apache-junction-police-department,approved,[]
,False,24037,69,Seattle City Clerk,,False,seattle-city-clerk,approved,[]
,False,37481,10465,Volusia County Growth And Resource Management,,False,volusia-county-growth-and-resource-management,approved,[]
,False,37474,10465,Growth and Resource Management,,False,volusia-county-code-enforcement-deland,approved,[]
,False,24034,6970,Hasbrouck Heights Police Department,,False,hasbrouck-heights-police-department,approved,[]
,False,37472,10,"United States Customs And Border Protection, Aguadilla",,False,united-states-customs-and-border-protection-aguadilla,approved,[]
,False,24033,94,Phoenix Community And Economic Development,,False,phoenix-community-and-economic-development,approved,[]
,False,37491,6537,"Town Clerk, Bend Or",,False,town-clerk-bend-or,approved,[]
