abbrev,id,level,name,parent,slug
,647,l,Seekonk,1,seekonk
,648,l,Sharon,1,sharon
,649,l,Sheffield,1,sheffield
,650,l,Shelburne,1,shelburne
,651,l,Sherborn,1,sherborn
,652,l,Shirley,1,shirley
,653,l,Shutesbury,1,shutesbury
,654,l,Somerset,1,somerset
,655,l,South Hadley,1,south-hadley
,656,l,Southampton,1,southampton
,657,l,Southborough,1,southborough
,658,l,Southwick,1,southwick
,659,l,Spencer,1,spencer
,660,l,Stockbridge,1,stockbridge
,661,l,Stoneham,1,stoneham
,662,l,Stoughton,1,stoughton
,663,l,Stow,1,stow
,664,l,Sturbridge,1,sturbridge
,665,l,Sudbury,1,sudbury
,666,l,Sunderland,1,sunderland
,667,l,Sutton,1,sutton
,668,l,Swampscott,1,swampscott
,669,l,Swansea,1,swansea
,670,l,Templeton,1,templeton
,671,l,Tisbury,1,tisbury
,672,l,Tolland,1,tolland
,673,l,Topsfield,1,topsfield
,674,l,Townsend,1,townsend
,675,l,Truro,1,truro
,676,l,Tyngsborough,1,tyngsborough
,677,l,Tyringham,1,tyringham
,678,l,Upton,1,upton
,679,l,Uxbridge,1,uxbridge
,680,l,Wales,1,wales
,681,l,Waltham,1,waltham
,682,l,Ware,1,ware
,683,l,Wareham,1,wareham
,684,l,Warren,1,warren
,685,l,Warwick,1,warwick
,686,l,Wayland,1,wayland
,687,l,Webster,1,webster
,688,l,Wellfleet,1,wellfleet
,689,l,Wendell,1,wendell
,690,l,West Boylston,1,west-boylston
,691,l,West Bridgewater,1,west-bridgewater
,692,l,West Brookfield,1,west-brookfield
,693,l,West Newbury,1,west-newbury
,694,l,West Stockbridge,1,west-stockbridge
,695,l,West Tisbury,1,west-tisbury
,696,l,Westborough,1,westborough
,697,l,Westfield,1,westfield
,698,l,Westford,1,westford
,699,l,Westhampton,1,westhampton
,700,l,Westminster,1,westminster
,701,l,Weston,1,weston
,702,l,Westport,1,westport
,703,l,Westwood,1,westwood
,704,l,Weymouth,1,weymouth
,705,l,Whately,1,whately
,706,l,Whitman,1,whitman
,707,l,Wilbraham,1,wilbraham
,708,l,Williamsburg,1,williamsburg
,709,l,Williamstown,1,williamstown
,710,l,Wilmington,1,wilmington
,711,l,Winchendon,1,winchendon
,712,l,Winchester,1,winchester
,713,l,Windsor,1,windsor
,714,l,Winthrop,1,winthrop
,715,l,Woburn,1,woburn
,716,l,Worthington,1,worthington
,717,l,Wrentham,1,wrentham
,718,l,Yarmouth,1,yarmouth
,719,l,Anne Arundel County,154,anne-arundel
,720,l,Albany,16,albany
,721,l,Madison,146,madison
,722,l,"Jordan, MN",156,jordan-mn
,723,l,Hurricane,234,hurricane
,724,l,Waterbury,53,waterbury
,725,l,Washington County,234,washington-county
,726,l,Newport News,128,newport-news
,727,l,Bartlett,155,bartlett
,728,l,Thurston County,54,thurston-county
,729,l,Berkshire County,1,berkshire-county
,730,l,Hampden County,1,hampden-county
,731,l,Chesapeake,128,chesapeake
,732,l,Santa Clara County,52,santa-clara-county
,733,l,Sunnyvale,52,sunnyvale
,736,l,Albertville,159,albertville
,737,l,Guntersville,159,guntersville
,738,l,Hoover,159,hoover
,739,l,Madison,159,madison
,740,l,Leeds,159,leeds
,741,l,Boaz,159,boaz
,742,l,Trussville,159,trussville
,743,l,Birmingham,159,birmingham
,744,l,Alexander City,159,alexander-city
,745,l,Andalusia,159,andalusia
,746,l,Arab,159,arab
,747,l,Athens,159,athens
,748,l,Attalla,159,attalla
,749,l,Saraland,159,saraland
,750,l,Chickasaw,159,chickasaw
,751,l,Auburn,159,auburn
,752,l,Prattville,159,prattville
,753,l,Bay Minette,159,bay-minette
,754,l,Clayton,159,clayton
,755,l,Bessemer,159,bessemer
,756,l,Centreville,159,centreville
,757,l,Oneonta,159,oneonta
,758,l,Brewton,159,brewton
,759,l,Union Springs,159,union-springs
,760,l,Greenville,159,greenville
,761,l,Lafayette,159,lafayette
,762,l,Centre,159,centre
,763,l,Clanton,159,clanton
,764,l,Butler,159,butler
,765,l,Grove Hill,159,grove-hill
,766,l,Ashland,159,ashland
,767,l,Heflin,159,heflin
,768,l,Elba,159,elba
,769,l,Tuscumbia,159,tuscumbia
,770,l,Evergreen,159,evergreen
,771,l,Rockford,159,rockford
,772,l,Luverne,159,luverne
,773,l,Cullman,159,cullman
,774,l,Ozark,159,ozark
,775,l,Daleville,159,daleville
,776,l,Selma,159,selma
,777,l,Rainsville,159,rainsville
,778,l,Decatur,159,decatur
,779,l,Demopolis,159,demopolis
,780,l,Dothan,159,dothan
,781,l,Wetumpka,159,wetumpka
,782,l,Enterprise,159,enterprise
,783,l,Eufaula,159,eufaula
,784,l,Fairfield,159,fairfield
,785,l,Fayette,159,fayette
,786,l,Florence,159,florence
,787,l,Fort Payne,159,fort-payne
,788,l,Russellville,159,russellville
,789,l,Geneva,159,geneva
,790,l,Eutaw,159,eutaw
,791,l,Greensboro,159,greensboro
,792,l,Haleyville,159,haleyville
,793,l,Hartselle,159,hartselle
,794,l,Abbeville,159,abbeville
,795,l,Homewood,159,homewood
,796,l,Huntsville,159,huntsville
,797,l,Scottsboro,159,scottsboro
,798,l,Jacksonville,159,jacksonville
,799,l,Jasper,159,jasper
,800,l,Vernon,159,vernon
,801,l,Lanett,159,lanett
,802,l,Moulton,159,moulton
,803,l,Opelika,159,opelika
,804,l,Linden,159,linden
