Person,Number of Files Requested,Page Number
"Fitzpatrick, Kathleen M Department Of State, Ambassador to Timor-Leste (Democratic Republic of)",2,15
"Fitzpatrick, Michael J Department Of State, Ambassador to Ecuador (Republic of)",9,15
"Flake, Jeffry L Department Of State, Ambassador to Turkey (Republic of)",6,15
"Fois, Andrew Administrative Conference Of The United States, Chairman",5,15
"Fong, Phyllis K Department Of Agriculture, Inspector General",8,15
"Ford, Christopher A Department Of State, Assistant Secretary for International Security & Non-Proliferation",4,15
"Fortine Ochoa, Carol General Services Administration, Inspector General",8,15
"Fortson, Kyle H National Mediation Board, Member",5,15
"Fotouhi, David Environmental Protection Agency, Deputy Administrator",3,15
"Fountain, David B Tennessee Valley Authority, DAEO",24,16
"Fountain, Edwin L American Battle Monuments Commission, DAEO",6,16
"Fox, Cherunda Candidates - F.E.C., Presidential Candidate",3,16
"Fox, Christopher Office Of Director Of National Intelligence, Inspector General of the Intelligence Community",1,16
"Fox, Kimberley K. Department Of Health And Human Services, Certificate of Divestiture",1,16
"Fox, Radhika Environmental Protection Agency, Assistant Administrator for Office of Water",8,16
"Frank, Halsey B Department Of Justice, U.S. Attorney Maine",25,16
"Franklin, Louis V Department Of Justice, U.S. Attorney Alabama Middle District",11,16
"Franklin, Sharon B Privacy And Civil Liberties Oversight Board, Chair",18,16
"Franks, Gwendolyn Morris K. Udall Foundation, DAEO",5,16
"Freed, David Department Of Justice, U.S. Attorney Pennsylvania Middle District",15,16
"Freedman, Carla Department Of Justice, U.S. Attorney New York Northern District",15,16
"Frey, Henry C Environmental Protection Agency, Assistant Administrator for Research & Development",5,16
"Friedman, David Department Of State, Ambassador to Israel (State of)",4,16
"Friedman, Jennifer Department Of Health And Human Services, Certificate of Divestiture",1,16
"Friedman, Lauren Department Of Health And Human Services, Certificate of Divestiture",1,16
"Fuchs, Clinton Department Of Justice, U.S. Marshal Maryland",3,16
"Fuchs, Michael Office Of The Vice President, Certificate of Divestiture",1,16
"Fuchs, Patrick Surface Transportation Board, Member",5,16
"Fuchs, Patrick Surface Transportation Board, Member 2",2,16
"Gaiser, Thomas Department Of Justice, Assistant Attorney General, Office of Legal Counsel",3,16
"Gakhar, Bindu Office Of Administration, Certificate of Divestiture",1,16
"Gakhar, Bindu Office Of Administration, Chief of Enterprise Applications",3,16
"Garber, Judith G Department Of State, Ambassador to Cyprus (Republic of)",8,16
"Garrish, Theodore Department Of Energy, Assistant Secretary for International Affairs",5,16
"Garrish, Theodore Department Of Energy, Assistant Secretary for Nuclear Energy",1,16
"Gartner, Eric S Department Of Justice, U.S. Marshal Pennsylvania Eastern District",17,17
"Gast, Scott F White House Office, DAEO",2,17
"Gast, Scott F White House Office, Special Assistant to President",1,17
"George, Dylan B. Department Of Health And Human Services, Certificate of Divestiture",1,17
"George, Joey R Department Of The Treasury, Inspector General for Tax Administration",7,17
"George, Kenneth S Department Of State, Ambassador to Uruguay (Oriental Republic of)",15,17
